Majors,Technical Skills,Soft Skills,Soft Skills Rating,Career Interest
B.Tech CSE,"Java, Python","Leadership, Problem-Solving",1,Cloud Architect
B.Sc Data Science,"Java, Python","Leadership, Adaptability, Communication",2,AI Engineer
B.Tech IT,"Cybersecurity, SQL, Python","Communication, Adaptability, Teamwork",2,Cloud Architect
B.Tech IT,"Cybersecurity, Cloud Computing, Python","Adaptability, Communication, Time Management",3,Data Scientist
M.Tech AI,"Machine Learning, Java, SQL, Data Analysis","Teamwork, Problem-Solving, Leadership",1,Cloud Architect
B.Sc Data Science,"SQL, Data Analysis","Leadership, Communication, Problem-Solving",1,Business Analyst
B.Sc Data Science,"Python, SQL, Machine Learning","Adaptability, Problem-Solving, Leadership",4,Cloud Architect
B.Tech CSE,"Java, Python, Cybersecurity, Cloud Computing","Adaptability, Time Management, Teamwork",5,Business Analyst
B.Tech IT,"Cloud Computing, Python","Time Management, Teamwork",2,Cybersecurity Expert
M.Tech AI,"Python, Data Analysis, Java","Time Management, Communication",5,Software Developer
B.Tech IT,"Cloud Computing, Python, Java","Leadership, Time Management, Communication",1,Business Analyst
B.Sc Data Science,"Cloud Computing, Data Analysis","Adaptability, Communication",1,Cloud Architect
B.Tech CSE,"Blockchain, Python, Machine Learning, Java","Communication, Leadership",3,AI Engineer
B.Sc Data Science,"Data Analysis, SQL","Communication, Time Management, Adaptability",2,Software Developer
B.Tech IT,"Cybersecurity, Machine Learning, Cloud Computing, Blockchain","Time Management, Teamwork, Problem-Solving",2,Cloud Architect
M.Tech AI,"SQL, Cybersecurity","Teamwork, Time Management, Communication",2,Cloud Architect
M.Tech AI,"Machine Learning, Data Analysis, SQL","Time Management, Communication, Teamwork",2,Software Developer
M.Tech AI,"Java, Machine Learning","Problem-Solving, Teamwork, Time Management",3,Data Scientist
B.Tech IT,"Cybersecurity, Data Analysis, Python","Time Management, Leadership, Problem-Solving",5,Software Developer
B.Sc Data Science,"SQL, Data Analysis, Cloud Computing, Machine Learning","Problem-Solving, Teamwork, Communication",2,Software Developer
B.Tech IT,"Blockchain, Cloud Computing, Data Analysis","Teamwork, Problem-Solving, Time Management",2,Cybersecurity Expert
B.Sc Data Science,"Machine Learning, SQL","Problem-Solving, Teamwork",5,Software Developer
B.Tech IT,"Cybersecurity, Data Analysis, SQL, Blockchain","Adaptability, Leadership",1,Business Analyst
M.Tech AI,"Data Analysis, Java, Cybersecurity, Python","Communication, Leadership, Adaptability",4,Cybersecurity Expert
M.Tech AI,"Data Analysis, Java","Leadership, Problem-Solving, Time Management",1,Cybersecurity Expert
B.Tech IT,"Python, Cybersecurity","Leadership, Communication, Time Management",1,Data Scientist
B.Tech CSE,"Cloud Computing, SQL","Leadership, Problem-Solving, Teamwork",4,Data Scientist
M.Tech AI,"Java, Cybersecurity, Machine Learning","Communication, Problem-Solving",4,Software Developer
M.Tech AI,"Cloud Computing, Machine Learning","Leadership, Teamwork, Problem-Solving",5,Data Scientist
B.Tech CSE,"Java, Cybersecurity, Python, Data Analysis","Leadership, Communication",3,AI Engineer
B.Tech CSE,"Data Analysis, Java, Machine Learning","Leadership, Communication, Time Management",4,Data Scientist
B.Tech CSE,"Cybersecurity, Blockchain, Python, Data Analysis","Time Management, Leadership",3,Software Developer
B.Tech IT,"Cloud Computing, Machine Learning","Teamwork, Problem-Solving",4,Data Scientist
M.Tech AI,"Cloud Computing, Blockchain, SQL","Communication, Leadership, Problem-Solving",1,Cloud Architect
B.Sc Data Science,"Machine Learning, Cloud Computing, Java","Time Management, Leadership, Problem-Solving",4,Cloud Architect
B.Tech CSE,"Python, Cloud Computing, Machine Learning","Adaptability, Time Management, Teamwork",5,Software Developer
B.Sc Data Science,"Blockchain, Cloud Computing","Adaptability, Teamwork",1,Cybersecurity Expert
M.Tech AI,"Python, Machine Learning","Time Management, Communication, Leadership",2,AI Engineer
M.Tech AI,"Cybersecurity, Cloud Computing, Machine Learning","Time Management, Teamwork",4,Cloud Architect
B.Tech CSE,"Data Analysis, Cloud Computing","Leadership, Problem-Solving, Time Management",4,AI Engineer
M.Tech AI,"Java, SQL, Python","Time Management, Teamwork, Problem-Solving",3,AI Engineer
B.Sc Data Science,"Python, Blockchain","Teamwork, Time Management",1,Software Developer
B.Sc Data Science,"SQL, Python, Cybersecurity, Data Analysis","Time Management, Adaptability",4,Cybersecurity Expert
M.Tech AI,"Machine Learning, Data Analysis, Python","Adaptability, Communication, Leadership",4,Software Developer
B.Tech CSE,"Data Analysis, Machine Learning, Java","Communication, Teamwork, Problem-Solving",4,Data Scientist
B.Tech CSE,"Machine Learning, SQL, Python, Data Analysis","Teamwork, Time Management, Problem-Solving",1,AI Engineer
B.Tech IT,"Python, Machine Learning, Java, Data Analysis","Problem-Solving, Adaptability, Leadership",2,Software Developer
B.Sc Data Science,"Machine Learning, Cloud Computing, Python","Leadership, Adaptability, Time Management",5,Business Analyst
B.Sc Data Science,"Cloud Computing, Java","Communication, Leadership, Problem-Solving",4,Cloud Architect
